,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
97,US - 455 ,1990,0,1,0,0.0,0.0,0,BYRON-2,BYRON,Operational,USA,IL,42.0742,-89.2819
98,US - 456 ,1980,1,0,0,1.0,1.0,0,BRAIDWOOD-1,BRAIDWOOD,Operational,USA,IL,41.2435,-88.2286
99,US - 456 ,1990,0,1,0,0.0,0.0,0,BRAIDWOOD-1,BRAIDWOOD,Operational,USA,IL,41.2435,-88.2286
100,US - 457 ,1990,0,1,0,0.0,0.0,0,BRAIDWOOD-2,BRAIDWOOD,Operational,USA,IL,41.2435,-88.2286
101,US - 457 ,1980,1,0,0,1.0,1.0,0,BRAIDWOOD-2,BRAIDWOOD,Operational,USA,IL,41.2435,-88.2286
102,US - 458 ,1980,1,0,0,1.0,1.0,0,RIVER BEND-1,RIVER BEND,Operational,USA,LA,30.757,-91.3327
103,US - 458 ,1990,0,1,0,0.0,0.0,0,RIVER BEND-1,RIVER BEND,Operational,USA,LA,30.757,-91.3327
104,US - 459 ,1980,1,0,0,1.0,0.0,1,RIVER BEND-2,RIVER BEND,Construction Cancelled,USA,LA,30.757,-91.3327
105,US - 459 ,1990,1,0,0,0.0,0.0,1,RIVER BEND-2,RIVER BEND,Construction Cancelled,USA,LA,30.757,-91.3327
106,US - 460 ,1990,1,0,0,0.0,0.0,1,WNP-1,COLUMBIA,Construction Cancelled,USA,WA,46.4711,-119.3339
107,US - 460 ,1980,1,0,0,1.0,0.0,1,WNP-1,COLUMBIA,Construction Cancelled,USA,WA,46.4711,-119.3339
108,US - 461 ,1980,1,0,0,1.0,1.0,0,CLINTON-1,CLINTON,Operational,USA,IL,40.1719,-88.8339
109,US - 461 ,1990,0,1,0,0.0,0.0,0,CLINTON-1,CLINTON,Operational,USA,IL,40.1719,-88.8339
110,US - 462 ,1980,1,0,0,1.0,0.0,1,CLINTON-2,CLINTON,Construction Cancelled,USA,IL,40.1719,-88.8339
111,US - 462 ,1990,1,0,0,0.0,0.0,1,CLINTON-2,CLINTON,Construction Cancelled,USA,IL,40.1719,-88.8339
112,US - 482 ,1980,1,0,0,1.0,1.0,0,WOLF CREEK,WOLF CREEK,Operational,USA,KS,38.2393,-95.6898
113,US - 482 ,1990,0,1,0,0.0,0.0,0,WOLF CREEK,WOLF CREEK,Operational,USA,KS,38.2393,-95.6898
114,US - 483 ,1980,1,0,0,1.0,1.0,0,CALLAWAY-1,CALLAWAY,Operational,USA,MO,38.7589,-91.7788
115,US - 483 ,1990,0,1,0,0.0,0.0,0,CALLAWAY-1,CALLAWAY,Operational,USA,MO,38.7589,-91.7788
116,US - 486 ,1990,1,0,0,0.0,0.0,1,CALLAWAY-2C,CALLAWAY,Construction Cancelled,USA,MO,38.7589,-91.7788
117,US - 486 ,1980,1,0,0,1.0,0.0,1,CALLAWAY-2C,CALLAWAY,Construction Cancelled,USA,MO,38.7589,-91.7788
118,US - 491 ,1990,1,0,0,0.0,0.0,1,CHEROKEE-1,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
119,US - 491 ,1980,1,0,0,1.0,0.0,1,CHEROKEE-1,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
120,US - 492 ,1990,1,0,0,0.0,0.0,1,CHEROKEE-2,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
121,US - 492 ,1980,1,0,0,1.0,0.0,1,CHEROKEE-2,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
122,US - 493 ,1990,1,0,0,0.0,0.0,1,CHEROKEE-3,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
123,US - 493 ,1980,1,0,0,1.0,0.0,1,CHEROKEE-3,CHEROKEE,Construction Cancelled,USA,SC,35.0365,-81.5112
124,US - 498 ,1980,1,0,0,1.0,1.0,0,SOUTH TEXAS-1,SOUTH TEXAS,Operational,USA,TX,28.795,-96.0481
125,US - 498 ,1990,0,1,0,0.0,0.0,0,SOUTH TEXAS-1,SOUTH TEXAS,Operational,USA,TX,28.795,-96.0481
126,US - 499 ,1980,1,0,0,1.0,1.0,0,SOUTH TEXAS-2,SOUTH TEXAS,Operational,USA,TX,28.795,-96.0481
127,US - 499 ,1990,0,1,0,0.0,0.0,0,SOUTH TEXAS-2,SOUTH TEXAS,Operational,USA,TX,28.795,-96.0481
128,US - 508 ,1980,1,0,0,1.0,0.0,1,WNP-3,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
129,US - 508 ,1990,1,0,0,0.0,0.0,1,WNP-3,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
130,US - 509 ,1990,1,0,0,0.0,0.0,1,WNP-5,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
131,US - 509 ,1980,1,0,0,1.0,0.0,1,WNP-5,SATSOP,Construction Cancelled,USA,WA,46.9598,-123.4696
132,US - 513 ,1980,1,0,0,1.0,0.0,1,WNP-4,COLUMBIA,Construction Cancelled,USA,WA,46.4711,-119.3339
133,US - 513 ,1990,1,0,0,0.0,0.0,1,WNP-4,COLUMBIA,Construction Cancelled,USA,WA,46.4711,-119.3339
134,US - 518 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE A-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
135,US - 518 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE A-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
136,US - 519 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE A-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
137,US - 519 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE A-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
138,US - 520 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE B-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
139,US - 520 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE B-1,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
140,US - 521 ,1980,1,0,0,1.0,0.0,1,HARTSVILLE B-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
141,US - 521 ,1990,1,0,0,0.0,0.0,1,HARTSVILLE B-2,HARTSVILLE,Construction Cancelled,USA,TN,36.349167,-86.084167
142,US - 528 ,1990,0,1,0,0.0,0.0,0,PALO VERDE-1,PALO VERDE,Operational,USA,AZ,33.3881,-112.8617
143,US - 528 ,1980,1,0,0,1.0,1.0,0,PALO VERDE-1,PALO VERDE,Operational,USA,AZ,33.3881,-112.8617
144,US - 529 ,1990,0,1,0,0.0,0.0,0,PALO VERDE-2,PALO VERDE,Operational,USA,AZ,33.3881,-112.8617
145,US - 529 ,1980,1,0,0,1.0,1.0,0,PALO VERDE-2,PALO VERDE,Operational,USA,AZ,33.3881,-112.8617
146,US - 530 ,1990,0,1,0,0.0,0.0,0,PALO VERDE-3,PALO VERDE,Operational,USA,AZ,33.3881,-112.8617
147,US - 530 ,1980,1,0,0,1.0,1.0,0,PALO VERDE-3,PALO VERDE,Operational,USA,AZ,33.3881,-112.8617
148,US - 546 ,1980,1,0,0,1.0,0.0,1,MARBLE HILL-1,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
149,US - 546 ,1990,1,0,0,0.0,0.0,1,MARBLE HILL-1,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
150,US - 547 ,1990,1,0,0,0.0,0.0,1,MARBLE HILL-2,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
151,US - 547 ,1980,1,0,0,1.0,0.0,1,MARBLE HILL-2,MARBLE HILL,Construction Cancelled,USA,IN,38.600858,-85.445886
152,US - 553 ,1980,1,0,0,1.0,0.0,1,PHIPPS BEND-1,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
153,US - 553 ,1990,1,0,0,0.0,0.0,1,PHIPPS BEND-1,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
154,US - 554 ,1990,1,0,0,0.0,0.0,1,PHIPPS BEND-2,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
155,US - 554 ,1980,1,0,0,1.0,0.0,1,PHIPPS BEND-2,PHIPPS BEND,Construction Cancelled,USA,TN,36.466944,-82.8075
156,US - 556 ,1980,1,0,0,1.0,0.0,1,BLACK FOX-1,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
157,US - 556 ,1990,1,0,0,0.0,0.0,1,BLACK FOX-1,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
158,US - 557 ,1990,1,0,0,0.0,0.0,1,BLACK FOX-2,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
159,US - 557 ,1980,1,0,0,1.0,0.0,1,BLACK FOX-2,BLACK FOX,Construction Cancelled,USA,OK,36.11576,-95.55157
160,US - 566 ,1990,1,0,0,0.0,0.0,1,YELLOW CREEK-1,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
161,US - 566 ,1980,1,0,0,1.0,0.0,1,YELLOW CREEK-1,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
162,US - 567 ,1990,1,0,0,0.0,0.0,1,YELLOW CREEK-2,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
163,US - 567 ,1980,1,0,0,1.0,0.0,1,YELLOW CREEK-2,YELLOW CREEK,Construction Cancelled,USA,MI,34.96,-88.21
